AGE_GROUP,GENDER,REGION,YEAR,TOTAL_STUDENTS,TOTAL_POPULATION,PROP_STUDENTS_100K
30-34 ans,other,auvergne-rhône-alpes,2022,23,,
55-59 ans,other,nouvelle-aquitaine,2022,1,,
45-49 ans,other,île-de-france,2025,3,,
35-39 ans,other,provence-alpes-côte d'azur,2025,2,,
45-49 ans,other,pays de la loire,2022,3,,
25-29 ans,other,occitanie,2023,8,,
45-49 ans,other,île-de-france,2022,23,,
25-29 ans,other,hauts-de-france,2023,2,,
30-34 ans,other,normandie,2024,1,,
55-59 ans,other,auvergne-rhône-alpes,2023,1,,
35-39 ans,other,pays de la loire,2023,6,,
20-24 ans,other,auvergne-rhône-alpes,2025,1,,
45-49 ans,other,occitanie,2022,4,,
55-59 ans,other,auvergne-rhône-alpes,2024,1,,
60 ans ou plus,other,île-de-france,2022,11,,
30-34 ans,other,hauts-de-france,2024,2,,
25-29 ans,other,provence-alpes-côte d'azur,2023,5,,
45-49 ans,other,nouvelle-aquitaine,2022,6,,
35-39 ans,other,île-de-france,2024,11,,
40-44 ans,other,pays de la loire,2023,1,,
35-39 ans,other,normandie,2023,4,,
50-54 ans,other,auvergne-rhône-alpes,2022,6,,
55-59 ans,other,occitanie,2022,2,,
30-34 ans,other,provence-alpes-côte d'azur,2023,6,,
35-39 ans,other,grand est,2025,1,,
30-34 ans,other,centre-val de loire,2024,1,,
45-49 ans,other,normandie,2023,1,,
30-34 ans,other,nouvelle-aquitaine,2022,8,,
30-34 ans,other,occitanie,2022,17,,
25-29 ans,other,île-de-france,2023,47,,
30-34 ans,other,hauts-de-france,2022,10,,
30-34 ans,other,pays de la loire,2022,7,,
30-34 ans,other,occitanie,2023,6,,
30-34 ans,other,pays de la loire,2023,3,,
25-29 ans,other,grand est,2023,4,,
35-39 ans,other,bretagne,2023,3,,
35-39 ans,other,normandie,2022,3,,
25-29 ans,other,grand est,2022,7,,
30-34 ans,other,grand est,2024,1,,
45-49 ans,other,nouvelle-aquitaine,2023,1,,
25-29 ans,other,drom,2025,1,,
60 ans ou plus,other,nouvelle-aquitaine,2022,2,,
30-34 ans,other,provence-alpes-côte d'azur,2022,11,,
20-24 ans,other,nouvelle-aquitaine,2022,1,,
45-49 ans,other,normandie,2025,1,,
50-54 ans,other,bretagne,2022,1,,
40-44 ans,other,bretagne,2023,4,,
50-54 ans,other,occitanie,2022,1,,
40-44 ans,other,drom,2022,1,,
45-49 ans,other,hauts-de-france,2024,1,,
25-29 ans,other,nouvelle-aquitaine,2022,10,,
25-29 ans,other,centre-val de loire,2022,2,,
50-54 ans,other,nouvelle-aquitaine,2023,3,,
50-54 ans,other,grand est,2022,2,,
35-39 ans,other,drom,2023,1,,
40-44 ans,other,occitanie,2023,3,,
45-49 ans,other,occitanie,2025,1,,
55-59 ans,other,grand est,2025,1,,
60 ans ou plus,other,nouvelle-aquitaine,2025,1,,
30-34 ans,other,bretagne,2024,1,,
35-39 ans,other,normandie,2025,1,,
35-39 ans,other,auvergne-rhône-alpes,2022,12,,
45-49 ans,other,auvergne-rhône-alpes,2022,6,,
50-54 ans,other,hauts-de-france,2024,1,,
35-39 ans,m,centre-val de loire,2023,1,73525.00,1.400000
25-29 ans,f,île-de-france,2023,25,439877.00,5.700000
45-49 ans,f,drom,2024,1,71912.00,1.400000
45-49 ans,f,bretagne,2024,2,103930.00,1.900000
55-59 ans,m,bretagne,2023,1,112115.00,0.900000
25-29 ans,m,nouvelle-aquitaine,2022,9,150388.00,6.000000
55-59 ans,f,île-de-france,2025,1,385400.00,0.300000
45-49 ans,m,occitanie,2025,5,181237.00,2.800000
45-49 ans,m,bourgogne-franche-comté,2022,2,86369.00,2.300000
50-54 ans,f,occitanie,2023,1,207916.00,0.500000
30-34 ans,m,drom,2022,3,56809.00,5.300000
30-34 ans,m,normandie,2025,4,91734.00,4.400000
30-34 ans,f,auvergne-rhône-alpes,2024,1,251882.00,0.400000
40-44 ans,m,hauts-de-france,2025,4,191881.00,2.100000
60 ans ou plus,m,auvergne-rhône-alpes,2024,2,1005120.00,0.200000
30-34 ans,f,occitanie,2024,6,175999.00,3.400000
50-54 ans,m,drom,2022,2,68280.00,2.900000
40-44 ans,m,centre-val de loire,2022,5,75290.00,6.600000
30-34 ans,f,nouvelle-aquitaine,2024,3,169053.00,1.800000
25-29 ans,m,grand est,2023,6,156718.00,3.800000
50-54 ans,m,centre-val de loire,2023,1,86544.00,1.200000
60 ans ou plus,m,provence-alpes-côte d'azur,2022,2,686518.00,0.300000
30-34 ans,f,auvergne-rhône-alpes,2022,9,252973.00,3.600000
20-24 ans,m,île-de-france,2024,12,427173.00,2.800000
45-49 ans,f,bretagne,2022,1,108917.00,0.900000
25-29 ans,f,île-de-france,2025,34,458380.00,7.400000
30-34 ans,m,bourgogne-franche-comté,2022,6,76158.00,7.900000
25-29 ans,f,auvergne-rhône-alpes,2025,5,232592.00,2.100000
30-34 ans,f,nouvelle-aquitaine,2022,1,169765.00,0.600000
35-39 ans,m,provence-alpes-côte d'azur,2024,9,153512.00,5.900000
25-29 ans,m,normandie,2022,5,86310.00,5.800000
30-34 ans,f,drom,2025,1,74307.00,1.300000
30-34 ans,m,nouvelle-aquitaine,2022,16,164607.00,9.700000
45-49 ans,f,bretagne,2023,1,106416.00,0.900000
20-24 ans,m,pays de la loire,2025,1,115231.00,0.900000
60 ans ou plus,m,occitanie,2022,1,812218.00,0.100000
50-54 ans,m,occitanie,2024,2,201175.00,1.000000
45-49 ans,f,drom,2023,1,72995.00,1.400000
30-34 ans,f,bretagne,2022,4,92960.00,4.300000
35-39 ans,m,bourgogne-franche-comté,2024,2,80440.00,2.500000
20-24 ans,f,île-de-france,2023,2,435802.00,0.500000
40-44 ans,f,normandie,2024,1,103972.00,1.000000
50-54 ans,m,bretagne,2025,1,117738.00,0.800000
30-34 ans,f,normandie,2024,1,93248.00,1.100000
25-29 ans,f,pays de la loire,2022,2,100624.00,2.000000
30-34 ans,m,pays de la loire,2025,4,111834.00,3.600000
25-29 ans,m,occitanie,2022,10,161274.00,6.200000
45-49 ans,m,hauts-de-france,2024,5,180281.00,2.800000
55-59 ans,f,auvergne-rhône-alpes,2022,1,266994.00,0.400000
45-49 ans,m,provence-alpes-côte d'azur,2023,2,153804.00,1.300000
20-24 ans,f,hauts-de-france,2023,1,180598.00,0.600000
25-29 ans,m,auvergne-rhône-alpes,2024,21,234838.00,8.900000
35-39 ans,m,île-de-france,2022,55,418794.00,13.100000
35-39 ans,m,nouvelle-aquitaine,2024,5,177203.00,2.800000
40-44 ans,f,auvergne-rhône-alpes,2024,1,272068.00,0.400000
40-44 ans,f,provence-alpes-côte d'azur,2024,2,169099.00,1.200000
50-54 ans,m,hauts-de-france,2023,2,193986.00,1.000000
50-54 ans,m,grand est,2025,3,182007.00,1.600000
30-34 ans,m,bourgogne-franche-comté,2025,4,75037.00,5.300000
40-44 ans,m,bretagne,2023,1,105464.00,0.900000
40-44 ans,m,grand est,2023,4,173265.00,2.300000
30-34 ans,m,grand est,2023,10,166200.00,6.000000
20-24 ans,m,hauts-de-france,2025,3,185472.00,1.600000
40-44 ans,m,provence-alpes-côte d'azur,2025,5,158561.00,3.200000
35-39 ans,m,grand est,2024,11,171234.00,6.400000
35-39 ans,f,normandie,2024,3,102122.00,2.900000
35-39 ans,f,occitanie,2025,3,189701.00,1.600000
25-29 ans,m,pays de la loire,2022,4,102069.00,3.900000
50-54 ans,m,grand est,2023,1,186249.00,0.500000
30-34 ans,f,nouvelle-aquitaine,2025,5,168789.00,3.000000
40-44 ans,f,île-de-france,2025,17,444337.00,3.800000
25-29 ans,m,grand est,2022,6,156316.00,3.800000
20-24 ans,m,grand est,2023,1,166208.00,0.600000
35-39 ans,m,nouvelle-aquitaine,2023,2,174048.00,1.100000
25-29 ans,m,provence-alpes-côte d'azur,2024,3,135869.00,2.200000
30-34 ans,f,hauts-de-france,2022,7,184679.00,3.800000
35-39 ans,f,grand est,2023,2,174604.00,1.100000
30-34 ans,m,grand est,2025,6,162757.00,3.700000
45-49 ans,m,hauts-de-france,2023,2,185692.00,1.100000
55-59 ans,m,grand est,2025,1,182863.00,0.500000
30-34 ans,f,pays de la loire,2024,4,111637.00,3.600000
45-49 ans,m,nouvelle-aquitaine,2023,4,187642.00,2.100000
30-34 ans,f,pays de la loire,2025,2,111223.00,1.800000
30-34 ans,f,occitanie,2022,5,176199.00,2.800000
35-39 ans,m,bourgogne-franche-comté,2025,1,80558.00,1.200000
50-54 ans,m,centre-val de loire,2025,1,85800.00,1.200000
45-49 ans,m,bourgogne-franche-comté,2023,1,83437.00,1.200000
50-54 ans,m,drom,2023,1,67149.00,1.500000
25-29 ans,m,centre-val de loire,2022,1,63579.00,1.600000
40-44 ans,m,île-de-france,2022,47,413734.00,11.400000
50-54 ans,m,pays de la loire,2025,1,130886.00,0.800000
40-44 ans,m,drom,2022,1,58307.00,1.700000
25-29 ans,f,grand est,2022,2,151462.00,1.300000
45-49 ans,m,centre-val de loire,2025,2,74138.00,2.700000
25-29 ans,m,île-de-france,2025,51,438668.00,11.600000
45-49 ans,f,normandie,2022,1,104152.00,1.000000
40-44 ans,m,bretagne,2024,4,106159.00,3.800000
55-59 ans,m,grand est,2022,3,187667.00,1.600000
50-54 ans,m,grand est,2024,1,184483.00,0.500000
30-34 ans,m,île-de-france,2025,50,434199.00,11.500000
35-39 ans,f,normandie,2023,2,101702.00,2.000000
30-34 ans,m,île-de-france,2022,69,436749.00,15.800000
35-39 ans,f,auvergne-rhône-alpes,2024,2,267477.00,0.700000
50-54 ans,m,centre-val de loire,2024,1,86744.00,1.200000
25-29 ans,m,normandie,2023,6,87020.00,6.900000
25-29 ans,m,bourgogne-franche-comté,2023,4,71624.00,5.600000
50-54 ans,f,nouvelle-aquitaine,2022,2,209507.00,1.000000
30-34 ans,f,bretagne,2025,4,93373.00,4.300000
25-29 ans,f,auvergne-rhône-alpes,2024,9,231043.00,3.900000
50-54 ans,m,grand est,2022,1,185608.00,0.500000
20-24 ans,m,grand est,2022,2,165884.00,1.200000
35-39 ans,f,nouvelle-aquitaine,2024,4,184364.00,2.200000
40-44 ans,m,hauts-de-france,2022,7,186844.00,3.700000
25-29 ans,m,nouvelle-aquitaine,2025,6,157169.00,3.800000
55-59 ans,m,auvergne-rhône-alpes,2025,1,263229.00,0.400000
45-49 ans,m,auvergne-rhône-alpes,2022,10,261532.00,3.800000
25-29 ans,f,provence-alpes-côte d'azur,2022,4,133189.00,3.000000
55-59 ans,f,provence-alpes-côte d'azur,2025,1,181995.00,0.500000
35-39 ans,m,île-de-france,2025,38,431296.00,8.800000
20-24 ans,m,auvergne-rhône-alpes,2023,2,239481.00,0.800000
25-29 ans,f,pays de la loire,2025,1,104818.00,1.000000
40-44 ans,f,drom,2024,1,74075.00,1.300000
55-59 ans,m,nouvelle-aquitaine,2022,1,201205.00,0.500000
25-29 ans,m,bourgogne-franche-comté,2024,3,72827.00,4.100000
40-44 ans,m,nouvelle-aquitaine,2023,1,185122.00,0.500000
40-44 ans,f,occitanie,2023,1,194739.00,0.500000
45-49 ans,f,grand est,2022,1,175778.00,0.600000
50-54 ans,f,normandie,2022,1,110009.00,0.900000
35-39 ans,m,normandie,2025,2,99395.00,2.000000
30-34 ans,m,hauts-de-france,2024,6,175296.00,3.400000
35-39 ans,f,île-de-france,2023,30,451589.00,6.600000
25-29 ans,m,bourgogne-franche-comté,2022,4,71275.00,5.600000
45-49 ans,m,nouvelle-aquitaine,2025,3,181525.00,1.700000
45-49 ans,f,hauts-de-france,2023,1,187006.00,0.500000
30-34 ans,f,bretagne,2024,3,93046.00,3.200000
55-59 ans,f,grand est,2025,1,187042.00,0.500000
30-34 ans,m,centre-val de loire,2023,2,69992.00,2.900000
25-29 ans,f,bourgogne-franche-comté,2022,2,68487.00,2.900000
40-44 ans,f,pays de la loire,2024,2,126287.00,1.600000
60 ans ou plus,m,grand est,2022,1,691444.00,0.100000
40-44 ans,f,nouvelle-aquitaine,2024,4,194583.00,2.100000
25-29 ans,m,pays de la loire,2025,3,108380.00,2.800000
45-49 ans,f,île-de-france,2024,10,410340.00,2.400000
40-44 ans,f,bourgogne-franche-comté,2024,1,84986.00,1.200000
30-34 ans,m,centre-val de loire,2024,3,69232.00,4.300000
50-54 ans,m,île-de-france,2022,21,387897.00,5.400000
45-49 ans,m,drom,2024,2,60659.00,3.300000
50-54 ans,m,île-de-france,2024,10,402616.00,2.500000
35-39 ans,m,île-de-france,2024,35,426384.00,8.200000
25-29 ans,f,auvergne-rhône-alpes,2023,2,227890.00,0.900000
30-34 ans,f,provence-alpes-côte d'azur,2023,4,154741.00,2.600000
55-59 ans,m,provence-alpes-côte d'azur,2023,1,169280.00,0.600000
40-44 ans,m,drom,2024,1,59286.00,1.700000
45-49 ans,f,pays de la loire,2025,3,119942.00,2.500000
55-59 ans,f,île-de-france,2023,2,392302.00,0.500000
30-34 ans,f,bretagne,2023,2,93115.00,2.100000
45-49 ans,f,provence-alpes-côte d'azur,2025,2,161801.00,1.200000
35-39 ans,f,nouvelle-aquitaine,2025,2,185965.00,1.100000
55-59 ans,m,pays de la loire,2022,1,120546.00,0.800000
30-34 ans,m,occitanie,2023,7,170973.00,4.100000
60 ans ou plus,m,île-de-france,2025,3,1218859.00,0.200000
50-54 ans,m,auvergne-rhône-alpes,2025,1,273493.00,0.400000
45-49 ans,f,île-de-france,2022,16,414197.00,3.900000
55-59 ans,m,occitanie,2025,4,198304.00,2.000000
45-49 ans,f,normandie,2023,2,100568.00,2.000000
40-44 ans,f,hauts-de-france,2025,2,195613.00,1.000000
40-44 ans,m,nouvelle-aquitaine,2025,1,186909.00,0.500000
60 ans ou plus,m,drom,2025,1,228811.00,0.400000
25-29 ans,m,drom,2024,1,52719.00,1.900000
40-44 ans,m,drom,2025,3,60026.00,5.000000
30-34 ans,m,drom,2024,2,57367.00,3.500000
35-39 ans,m,provence-alpes-côte d'azur,2023,5,150027.00,3.300000
45-49 ans,m,provence-alpes-côte d'azur,2022,4,157331.00,2.500000
35-39 ans,m,bourgogne-franche-comté,2023,2,79875.00,2.500000
50-54 ans,f,auvergne-rhône-alpes,2025,2,273757.00,0.700000
25-29 ans,m,bretagne,2025,3,92545.00,3.200000
35-39 ans,f,bretagne,2023,1,100463.00,1.000000
45-49 ans,m,auvergne-rhône-alpes,2023,5,254893.00,2.000000
50-54 ans,f,île-de-france,2022,4,403221.00,1.000000
40-44 ans,f,nouvelle-aquitaine,2025,4,195880.00,2.000000
55-59 ans,m,grand est,2023,1,186882.00,0.500000
30-34 ans,f,auvergne-rhône-alpes,2023,6,253941.00,2.400000
40-44 ans,f,normandie,2023,1,102881.00,1.000000
45-49 ans,f,auvergne-rhône-alpes,2022,3,261130.00,1.100000
25-29 ans,f,pays de la loire,2024,1,103461.00,1.000000
20-24 ans,m,hauts-de-france,2024,8,186677.00,4.300000
50-54 ans,f,île-de-france,2025,6,410659.00,1.500000
60 ans ou plus,m,île-de-france,2023,8,1166390.00,0.700000
55-59 ans,m,île-de-france,2023,9,372264.00,2.400000
30-34 ans,m,occitanie,2025,7,171784.00,4.100000
35-39 ans,f,pays de la loire,2022,1,119787.00,0.800000
45-49 ans,m,pays de la loire,2022,3,125732.00,2.400000
35-39 ans,m,nouvelle-aquitaine,2022,11,173221.00,6.400000
50-54 ans,f,grand est,2024,1,188557.00,0.500000
35-39 ans,m,bretagne,2024,2,100144.00,2.000000
55-59 ans,f,île-de-france,2022,6,393487.00,1.500000
45-49 ans,f,provence-alpes-côte d'azur,2022,1,165283.00,0.600000
25-29 ans,m,nouvelle-aquitaine,2024,13,154264.00,8.400000
60 ans ou plus,f,île-de-france,2022,1,1452302.00,0.100000
30-34 ans,f,grand est,2024,2,164554.00,1.200000
20-24 ans,m,normandie,2024,3,95057.00,3.200000
20-24 ans,m,occitanie,2025,6,177453.00,3.400000
35-39 ans,f,grand est,2025,4,176744.00,2.300000
40-44 ans,f,centre-val de loire,2024,1,80310.00,1.200000
50-54 ans,f,normandie,2024,1,111213.00,0.900000
45-49 ans,f,occitanie,2025,3,188641.00,1.600000
40-44 ans,f,hauts-de-france,2023,2,193907.00,1.000000
50-54 ans,m,nouvelle-aquitaine,2022,3,201275.00,1.500000
50-54 ans,f,nouvelle-aquitaine,2024,2,214646.00,0.900000
55-59 ans,m,bretagne,2024,1,112080.00,0.900000
35-39 ans,f,nouvelle-aquitaine,2023,1,181909.00,0.500000
45-49 ans,f,pays de la loire,2023,1,122591.00,0.800000
30-34 ans,f,provence-alpes-côte d'azur,2025,9,153132.00,5.900000
20-24 ans,m,bourgogne-franche-comté,2024,4,77750.00,5.100000
25-29 ans,f,île-de-france,2024,33,448170.00,7.400000
30-34 ans,m,île-de-france,2023,66,438221.00,15.100000
50-54 ans,m,bretagne,2023,1,115662.00,0.900000
50-54 ans,f,île-de-france,2024,2,410790.00,0.500000
45-49 ans,m,provence-alpes-côte d'azur,2025,5,153712.00,3.300000
20-24 ans,m,grand est,2025,3,165188.00,1.800000
25-29 ans,f,provence-alpes-côte d'azur,2024,7,137304.00,5.100000
55-59 ans,m,nouvelle-aquitaine,2024,1,201782.00,0.500000
50-54 ans,m,nouvelle-aquitaine,2025,1,207047.00,0.500000
25-29 ans,m,grand est,2024,10,158015.00,6.300000
25-29 ans,m,occitanie,2025,12,167922.00,7.100000
30-34 ans,m,bourgogne-franche-comté,2024,4,75662.00,5.300000
30-34 ans,m,auvergne-rhône-alpes,2024,12,249097.00,4.800000
40-44 ans,m,île-de-france,2024,25,415757.00,6.000000
45-49 ans,m,pays de la loire,2025,3,119918.00,2.500000
40-44 ans,m,bourgogne-franche-comté,2024,1,83678.00,1.200000
40-44 ans,f,grand est,2022,2,173190.00,1.200000
40-44 ans,m,normandie,2023,2,100110.00,2.000000
30-34 ans,f,île-de-france,2022,37,465599.00,7.900000
50-54 ans,m,occitanie,2025,1,199920.00,0.500000
25-29 ans,m,drom,2025,2,52902.00,3.800000
40-44 ans,m,occitanie,2025,2,186576.00,1.100000
60 ans ou plus,f,auvergne-rhône-alpes,2022,1,1201312.00,0.100000
30-34 ans,f,bourgogne-franche-comté,2025,2,73678.00,2.700000
40-44 ans,f,occitanie,2025,2,198246.00,1.000000
35-39 ans,m,auvergne-rhône-alpes,2023,6,255024.00,2.400000
25-29 ans,m,île-de-france,2023,60,418751.00,14.300000
20-24 ans,m,occitanie,2024,3,175810.00,1.700000
25-29 ans,f,auvergne-rhône-alpes,2022,4,227869.00,1.800000
50-54 ans,m,auvergne-rhône-alpes,2022,3,267934.00,1.100000
45-49 ans,m,grand est,2025,2,164387.00,1.200000
40-44 ans,m,bourgogne-franche-comté,2023,1,83399.00,1.200000
40-44 ans,f,centre-val de loire,2025,2,80808.00,2.500000
60 ans ou plus,m,centre-val de loire,2025,2,357968.00,0.600000
25-29 ans,m,hauts-de-france,2023,6,166884.00,3.600000
20-24 ans,f,provence-alpes-côte d'azur,2025,2,132241.00,1.500000
25-29 ans,f,centre-val de loire,2025,3,64876.00,4.600000
55-59 ans,f,auvergne-rhône-alpes,2025,2,267675.00,0.700000
40-44 ans,f,drom,2025,1,75141.00,1.300000
30-34 ans,f,normandie,2023,2,94495.00,2.100000
40-44 ans,f,pays de la loire,2022,3,122673.00,2.400000
20-24 ans,m,bretagne,2022,1,97043.00,1.000000
25-29 ans,f,bretagne,2022,1,83474.00,1.200000
35-39 ans,m,normandie,2024,2,98757.00,2.000000
35-39 ans,m,auvergne-rhône-alpes,2024,7,258389.00,2.700000
25-29 ans,m,occitanie,2023,3,162878.00,1.800000
25-29 ans,f,grand est,2024,2,151821.00,1.300000
25-29 ans,f,provence-alpes-côte d'azur,2023,2,134785.00,1.500000
35-39 ans,f,bretagne,2022,1,100341.00,1.000000
30-34 ans,f,provence-alpes-côte d'azur,2022,2,153231.00,1.300000
45-49 ans,f,normandie,2024,1,97825.00,1.000000
20-24 ans,f,grand est,2024,1,152348.00,0.700000
40-44 ans,f,hauts-de-france,2022,4,190967.00,2.100000
40-44 ans,m,pays de la loire,2024,2,124447.00,1.600000
50-54 ans,m,normandie,2024,1,109116.00,0.900000
55-59 ans,m,occitanie,2022,2,196716.00,1.000000
40-44 ans,f,nouvelle-aquitaine,2022,7,189218.00,3.700000
30-34 ans,f,grand est,2023,1,167064.00,0.600000
35-39 ans,f,provence-alpes-côte d'azur,2024,1,164662.00,0.600000
20-24 ans,f,auvergne-rhône-alpes,2025,3,227783.00,1.300000
20-24 ans,f,occitanie,2025,1,167339.00,0.600000
30-34 ans,m,auvergne-rhône-alpes,2023,9,248933.00,3.600000
60 ans ou plus,m,nouvelle-aquitaine,2022,1,855814.00,0.100000
35-39 ans,m,hauts-de-france,2023,5,186994.00,2.700000
50-54 ans,f,centre-val de loire,2025,1,87808.00,1.100000
20-24 ans,m,nouvelle-aquitaine,2024,3,165782.00,1.800000
40-44 ans,f,auvergne-rhône-alpes,2023,2,268981.00,0.700000
20-24 ans,m,bretagne,2024,3,97842.00,3.100000
35-39 ans,f,grand est,2022,3,175546.00,1.700000
45-49 ans,m,île-de-france,2024,16,403588.00,4.000000
25-29 ans,f,hauts-de-france,2022,1,167340.00,0.600000
20-24 ans,f,île-de-france,2025,6,439216.00,1.400000
35-39 ans,f,normandie,2022,1,101931.00,1.000000
35-39 ans,m,normandie,2022,3,98057.00,3.100000
50-54 ans,f,occitanie,2025,2,208587.00,1.000000
45-49 ans,m,hauts-de-france,2025,4,177781.00,2.200000
20-24 ans,m,pays de la loire,2024,1,114726.00,0.900000
45-49 ans,m,grand est,2022,2,174486.00,1.100000
25-29 ans,m,provence-alpes-côte d'azur,2022,4,130652.00,3.100000
40-44 ans,f,auvergne-rhône-alpes,2025,2,273648.00,0.700000
25-29 ans,f,occitanie,2024,2,163045.00,1.200000
40-44 ans,m,bretagne,2025,4,105984.00,3.800000
35-39 ans,m,hauts-de-france,2022,5,188234.00,2.700000
35-39 ans,f,grand est,2024,1,176076.00,0.600000
35-39 ans,m,occitanie,2024,5,178882.00,2.800000
25-29 ans,m,provence-alpes-côte d'azur,2025,10,139031.00,7.200000
30-34 ans,m,provence-alpes-côte d'azur,2022,17,144254.00,11.800000
40-44 ans,f,île-de-france,2023,20,439760.00,4.500000
35-39 ans,f,île-de-france,2025,35,456434.00,7.700000
40-44 ans,m,pays de la loire,2025,3,124103.00,2.400000
55-59 ans,f,occitanie,2022,2,208809.00,1.000000
30-34 ans,m,grand est,2022,10,166340.00,6.000000
30-34 ans,m,pays de la loire,2022,7,111092.00,6.300000
45-49 ans,m,bretagne,2024,1,103785.00,1.000000
30-34 ans,m,hauts-de-france,2023,9,178623.00,5.000000
30-34 ans,f,île-de-france,2025,33,454134.00,7.300000
40-44 ans,f,drom,2022,2,72658.00,2.800000
50-54 ans,m,provence-alpes-côte d'azur,2022,2,166314.00,1.200000
55-59 ans,m,nouvelle-aquitaine,2025,3,202054.00,1.500000
55-59 ans,f,provence-alpes-côte d'azur,2022,1,183572.00,0.500000
30-34 ans,m,provence-alpes-côte d'azur,2025,14,143429.00,9.800000
45-49 ans,f,bourgogne-franche-comté,2025,1,80636.00,1.200000
40-44 ans,m,auvergne-rhône-alpes,2022,7,255076.00,2.700000
40-44 ans,m,hauts-de-france,2024,2,191252.00,1.000000
60 ans ou plus,m,auvergne-rhône-alpes,2025,2,1026267.00,0.200000
25-29 ans,m,provence-alpes-côte d'azur,2023,7,132703.00,5.300000
